Categoria,Num_Passageiros,Cap_Malas,Ar_Condicionado,Cambio,Tipo_Carroceria,Potencia_Motor,Ano_Modelo,Quilometragem,Blindado,Valor_Aluguel
SUV,2,3,Sim,Manual,SUV,110,2019,5000,Sim,1200
Luxo,7,3,Não,Automático,Esportivo,500,2021,30000,Não,100
Econômico,7,3,Sim,Automático,Esportivo,200,2022,10000,Sim,100
Econômico,2,1,Sim,Manual,Sedan,400,2019,25000,Sim,1000
SUV,7,4,Não,Automático,SUV,300,2018,40000,Sim,1200
Econômico,5,1,Não,Automático,Esportivo,150,2020,25000,Sim,400
Econômico,4,1,Sim,Manual,Sedan,120,2020,10000,Não,500
Econômico,5,3,Sim,Automático,Hatch,150,2019,40000,Sim,500
Blindado,7,2,Sim,Automático,Hatch,120,2018,40000,Não,400
Compacto,2,3,Não,Manual,Esportivo,300,2022,40000,Não,200
SUV,5,1,Sim,Manual,Sedan,110,2020,5000,Sim,1000
Esportivo,5,1,Não,Manual,SUV,200,2019,5000,Sim,200
Econômico,2,1,Sim,Manual,Sedan,200,2022,10000,Sim,100
Econômico,5,3,Não,Manual,Sedan,110,2022,10000,Não,1000
Compacto,2,1,Não,Manual,Sedan,150,2019,25000,Não,150
Econômico,4,1,Não,Manual,Esportivo,120,2018,10000,Não,150
Econômico,2,5,Sim,Manual,Hatch,150,2018,25000,Sim,100
Esportivo,4,5,Não,Automático,Esportivo,200,2019,25000,Sim,1000
Esportivo,2,2,Não,Manual,Hatch,500,2020,10000,Sim,800
Econômico,5,1,Não,Automático,Hatch,400,2021,25000,Sim,1200
Luxo,7,4,Não,Automático,Sedan,300,2022,5000,Não,1200
SUV,5,5,Não,Manual,Esportivo,110,2020,10000,Sim,800
SUV,5,5,Sim,Manual,Hatch,120,2021,25000,Não,500
Luxo,2,1,Sim,Manual,SUV,300,2019,10000,Sim,300
Luxo,5,5,Não,Manual,Sedan,110,2021,40000,Sim,800
Compacto,4,1,Sim,Manual,Esportivo,500,2018,5000,Não,200
Econômico,5,3,Sim,Automático,Esportivo,400,2018,30000,Sim,800
Econômico,5,2,Não,Automático,Sedan,150,2019,40000,Não,1000
Compacto,4,4,Sim,Automático,Sedan,400,2018,10000,Não,1200
Blindado,2,4,Sim,Manual,Sedan,120,2021,40000,Sim,200
Esportivo,7,2,Não,Manual,SUV,400,2020,40000,Sim,100
Econômico,7,1,Não,Automático,Hatch,200,2021,30000,Sim,800
Esportivo,4,3,Não,Automático,Esportivo,400,2019,40000,Não,1000
Luxo,7,1,Não,Automático,Hatch,200,2021,25000,Sim,150
Luxo,7,2,Não,Manual,SUV,150,2022,10000,Sim,500
Luxo,5,1,Sim,Manual,Hatch,400,2020,5000,Não,100
Econômico,5,2,Sim,Automático,Sedan,150,2020,30000,Não,150
Blindado,5,3,Sim,Manual,Sedan,400,2020,30000,Sim,1000
Luxo,7,1,Sim,Manual,SUV,200,2021,25000,Não,300
Esportivo,2,3,Não,Manual,Esportivo,400,2020,25000,Sim,200
SUV,7,4,Sim,Manual,Sedan,110,2021,25000,Sim,800
Compacto,7,4,Não,Manual,Hatch,150,2022,10000,Não,200
Luxo,5,2,Sim,Automático,SUV,300,2020,10000,Sim,100
Compacto,7,3,Sim,Automático,SUV,120,2018,5000,Não,1000
Econômico,4,1,Não,Manual,Esportivo,400,2020,30000,Não,400
Esportivo,7,2,Não,Manual,Esportivo,200,2018,5000,Não,1000
SUV,5,2,Não,Automático,Hatch,200,2022,10000,Não,100
Compacto,2,5,Não,Automático,Sedan,110,2019,40000,Sim,400
Luxo,4,2,Não,Manual,Hatch,120,2020,10000,Sim,150
Compacto,5,5,Sim,Automático,Sedan,150,2018,25000,Sim,400
Blindado,4,1,Sim,Manual,SUV,400,2020,30000,Sim,800
Esportivo,2,5,Não,Automático,Sedan,110,2021,25000,Sim,1200
SUV,4,2,Sim,Manual,SUV,110,2020,30000,Sim,1200
Econômico,4,4,Sim,Manual,Sedan,400,2018,30000,Não,100
Econômico,5,1,Sim,Automático,Sedan,110,2019,25000,Sim,500
Econômico,4,5,Não,Automático,Hatch,200,2020,40000,Não,1200
Compacto,5,1,Sim,Automático,SUV,150,2018,40000,Sim,200
Blindado,7,3,Sim,Automático,SUV,150,2018,10000,Não,150
Esportivo,5,4,Sim,Automático,SUV,300,2021,25000,Não,100
Esportivo,5,5,Sim,Manual,Hatch,500,2021,40000,Não,150
Blindado,2,3,Sim,Manual,SUV,300,2018,40000,Não,1200
Blindado,5,1,Não,Automático,Hatch,120,2021,5000,Não,500
Econômico,4,5,Não,Automático,Esportivo,500,2021,25000,Não,500
Compacto,4,2,Sim,Automático,Esportivo,400,2018,40000,Sim,1200
Blindado,4,3,Sim,Automático,Hatch,110,2021,30000,Não,200
Luxo,7,5,Não,Automático,Sedan,120,2022,10000,Não,1000
Compacto,7,5,Sim,Automático,Sedan,200,2021,40000,Sim,200
Blindado,7,5,Não,Manual,Esportivo,300,2018,40000,Não,100
SUV,5,5,Sim,Automático,SUV,110,2022,40000,Não,500
SUV,5,4,Não,Automático,Hatch,400,2018,40000,Não,1000
Econômico,2,1,Sim,Manual,SUV,150,2019,40000,Sim,100
Blindado,7,5,Sim,Automático,SUV,500,2018,5000,Sim,1200
Esportivo,4,5,Sim,Manual,SUV,400,2018,25000,Não,500
SUV,5,3,Não,Automático,Esportivo,300,2022,5000,Não,1000
Esportivo,2,2,Não,Manual,Esportivo,300,2021,10000,Sim,1200
Blindado,7,5,Sim,Automático,Esportivo,150,2021,40000,Sim,1000
SUV,4,4,Sim,Manual,Hatch,300,2018,25000,Sim,150
Econômico,5,1,Sim,Manual,Sedan,110,2020,40000,Não,1000
Compacto,7,1,Sim,Manual,SUV,300,2022,40000,Sim,1200
SUV,7,4,Sim,Manual,Sedan,150,2018,30000,Não,800
SUV,5,5,Sim,Automático,Sedan,110,2021,40000,Sim,1200
Compacto,5,4,Sim,Automático,Hatch,400,2020,10000,Sim,300
Esportivo,2,5,Não,Automático,Sedan,150,2021,5000,Sim,200
Blindado,5,3,Sim,Manual,Esportivo,500,2019,30000,Não,300
Compacto,4,3,Não,Automático,Sedan,110,2019,10000,Sim,1000
Blindado,5,4,Não,Automático,SUV,110,2021,40000,Sim,150
Econômico,7,3,Não,Manual,Hatch,120,2021,5000,Sim,1200
Luxo,2,3,Não,Automático,Esportivo,300,2019,25000,Não,200
Econômico,4,1,Sim,Manual,SUV,400,2020,5000,Não,1200
Blindado,5,5,Não,Manual,Hatch,400,2018,25000,Não,800
Blindado,2,1,Sim,Manual,Sedan,110,2021,30000,Não,1200
Econômico,2,2,Não,Manual,SUV,200,2018,10000,Não,100
SUV,7,2,Sim,Manual,Hatch,500,2018,5000,Sim,800
Econômico,5,3,Sim,Manual,Sedan,200,2021,10000,Sim,1200
Econômico,4,4,Sim,Manual,SUV,110,2021,25000,Não,400
Blindado,5,2,Sim,Automático,Hatch,120,2022,30000,Sim,500
SUV,2,2,Sim,Automático,SUV,300,2022,30000,Sim,200
SUV,7,3,Não,Automático,Hatch,400,2020,25000,Sim,500
Luxo,5,4,Não,Manual,SUV,300,2019,40000,Não,300
Luxo,7,5,Sim,Automático,Esportivo,120,2022,25000,Sim,1000
